DATES,FUTR
2018-01-01,0.0
2018-01-02,0.008172117298474002
2018-01-03,0.004123531910059874
2018-01-04,0.0038050529653230747
2018-01-05,0.005488664989445335
2018-01-08,0.003200632244515833
2018-01-09,0.00023006966242306026
2018-01-10,-0.0026322803507381476
2018-01-11,0.01040515017453969
2018-01-12,0.004673502628267379
2018-01-15,0.0
2018-01-16,-0.0046809925049718926
2018-01-17,0.007838371817316725
2018-01-18,-0.0033446176314914644
2018-01-19,0.007967929883501146
2018-01-22,0.006709526545820688
2018-01-23,0.001854980518972038
2018-01-24,-0.0014642759411057638
2018-01-25,-0.0002330602580736807
2018-01-26,0.00801375010024774
2018-01-29,-0.007761365184104196
2018-01-30,-0.010257596609373587
2018-01-31,-0.0010548913714418795
2018-02-01,0.00044861234733978295
2018-02-02,-0.02193762550336531
2018-02-05,-0.04542950189866862
2018-02-06,0.020429409830615697
2018-02-07,-0.004477360576062406
2018-02-08,-0.030729591200348738
2018-02-09,0.009971541779220328
2018-02-12,0.012198581070168468
2018-02-13,0.0026102246323791434
2018-02-14,0.016035360999606563
2018-02-15,0.011920283222435213
2018-02-16,0.001369254365549355
2018-02-19,0.0
2018-02-20,-0.007337202917030661
2018-02-21,-0.003948253775128918
2018-02-22,0.0015649189131405339
2018-02-23,0.013145674097861715
2018-02-26,0.009284158895526251
2018-02-27,-0.013798235748010257
2018-02-28,-0.012072968594167122
2018-03-01,-0.008390730705609806
2018-03-02,0.007702268039024185
2018-03-05,0.01030533069917694
2018-03-06,0.006177976135491869
2018-03-07,0.0008023701549170204
2018-03-08,0.0021793894349512177
2018-03-09,0.016507270654511186
2018-03-12,0.0005049023967291788
2018-03-13,-0.005902377184362928
2018-03-14,-0.0063389521244018865
2018-03-15,-0.001433512853297958
2018-03-16,0.003386541195687487
2018-03-19,-0.010750517818353844
2018-03-20,0.0003188019234314776
2018-03-21,0.0007038211329100097
2018-03-22,-0.02678779202771031
2018-03-23,-0.018510229594198513
2018-03-26,0.022666415417386676
2018-03-27,-0.01585363393155348
2018-03-28,-0.0004176552073056894
2018-03-29,0.01405377913527539
2018-03-30,0.0
2018-04-02,-0.025476535956038382
2018-04-03,0.014645387888356343
2018-04-04,0.010942314734062264
2018-04-05,0.006486158078705229
2018-04-06,-0.020717992578501987
2018-04-09,0.00297458728766975
2018-04-10,0.015089777232449086
2018-04-11,-0.0036438384683386005
2018-04-12,0.006586614794026002
2018-04-13,-0.0028270466353508272
2018-04-16,0.009674976296039528
2018-04-17,0.00855328879591244
2018-04-18,0.0019053583473273017
2018-04-19,-0.005664009243950607
2018-04-20,-0.007311043738564227
2018-04-23,8.798360740397415e-05
2018-04-24,-0.010445560986442282
2018-04-25,0.0018592854109560353
2018-04-26,0.007631444778639418
2018-04-27,-0.0013245415947710781
2018-04-30,-0.010026947961271848
2018-05-01,0.0028331272659963824
2018-05-02,-0.005517030579908155
2018-05-03,-0.00012242688520569533
2018-05-04,0.012718191103493037
2018-05-07,0.004029684545255541
2018-05-08,0.0015149417282499522
2018-05-09,0.007329070597543175
2018-05-10,0.00798942651485457
2018-05-11,0.002387806473678755
2018-05-14,-0.0005495305189429089
2018-05-15,-0.005292508286846465
2018-05-16,0.006052723635455393
2018-05-17,0.00029893447365386683
2018-05-18,-0.0021086521293144367
2018-05-21,0.008441383934466473
2018-05-22,-0.004641756414899723
2018-05-23,0.001152766626129953
2018-05-24,-0.00036261862636705056
2018-05-25,-0.0029263836029623236
2018-05-28,0.0
2018-05-29,-0.0068118399821675
2018-05-30,0.013881307178287838
2018-05-31,-0.009301277855721712
2018-06-01,0.008097583444393264
2018-06-04,0.004854934995327187
2018-06-05,0.0023637289916464965
2018-06-06,0.00779653016599513
2018-06-07,0.0002254714402841751
2018-06-08,0.004204838789723109
2018-06-11,0.0005901224453330189
2018-06-12,0.0010916828958411617
2018-06-13,-0.004794029902520813
2018-06-14,0.003034763346076663
2018-06-15,-0.0021644760126896534
2018-06-18,0.00012301013027155028
2018-06-19,-0.003177412468762464
2018-06-20,0.0035674898304826064
2018-06-21,-0.007203342109026678
2018-06-22,0.0015711647088414438
2018-06-25,-0.013745522404333577
2018-06-26,0.001909349830857332
2018-06-27,-0.009992915506540856
2018-06-28,0.004684249476997637
2018-06-29,0.0008790321676308555
2018-07-02,0.0010307924779863753
2018-07-03,-0.0012884275200294448
2018-07-04,0.0
2018-07-05,0.008985562952574688
2018-07-06,0.008190389216473859
2018-07-09,0.00945238169825846
2018-07-10,0.0016353148776019344
2018-07-11,-0.008740488908967337
2018-07-12,0.005972061128930561
2018-07-13,0.000698697700242279
2018-07-16,-0.0038292118981483325
2018-07-17,0.004799649887391788
2018-07-18,0.002547279384414569
2018-07-19,0.00018658232705787148
2018-07-20,-0.003932824094089571
2018-07-23,0.0020078253706754534
2018-07-24,-0.0020746549830524263
2018-07-25,0.005025344114773844
2018-07-26,0.0024537053748103776
2018-07-27,-0.010222989124967219
2018-07-30,-0.004678514471138262
2018-07-31,0.006974608543875327
2018-08-01,-0.002443015794752257
2018-08-02,0.007146965632618407
2018-08-03,0.0031943816733369657
2018-08-06,0.004273184616526926
2018-08-07,0.002929820604378963
2018-08-08,-0.002003998787116712
2018-08-09,-0.0007834917087268245
2018-08-10,-0.005915268352878478
2018-08-13,-0.0045853676023493994
2018-08-14,0.007347789364779422
2018-08-15,-0.00824094757853977
2018-08-16,0.00824395292906277
2018-08-17,0.003816862159424672
2018-08-20,0.002883465756363668
2018-08-21,0.0047764723085204075
2018-08-22,-0.00018470347125876252
2018-08-23,-0.002484132678016393
2018-08-24,0.0051300425324452
2018-08-27,0.006186151862105693
2018-08-28,5.733451719597271e-05
2018-08-29,0.004262724532396178
2018-08-30,-0.0048674020288841935
2018-08-31,0.0011747587072314936
2018-09-03,0.0
2018-09-04,-0.0016958458197720572
2018-09-05,-0.002141688743623027
2018-09-06,-0.003439524498231372
2018-09-07,-0.0016995427141233699
2018-09-10,0.0020172949437096133
2018-09-11,0.002435281138622236
2018-09-12,0.00010377961941010483
2018-09-13,0.0038009608472598932
2018-09-14,0.002095746081153149
2018-09-17,-0.007432241047682087
2018-09-18,0.005077134276375794
2018-09-19,-0.001179421003451031
2018-09-20,0.007960080001458536
2018-09-21,-0.002415826579108604
2018-09-24,-0.0033131045113881097
2018-09-25,-0.0012656843849869204
2018-09-26,-0.006357594193001137
2018-09-27,0.00190350399278727
2018-09-28,0.0014385835740158281
2018-10-01,-0.002114027393263218
2018-10-02,-0.00202322477207012
2018-10-03,0.002160411095208592
2018-10-04,-0.009676726444996675
2018-10-05,-0.0059907238744947855
2018-10-08,8.333062206372643e-05
2018-10-09,-0.0038402292429743357
2018-10-10,-0.03177568923132085
2018-10-11,-0.0167819986924313
2018-10-12,0.0053118769891785655
2018-10-15,-0.0014122681458160202
2018-10-16,0.023189294819556117
2018-10-17,-0.0019054921544571224
2018-10-18,-0.01546139135784258
2018-10-19,-0.0037742384967318077
2018-10-22,-0.004735288140050864
2018-10-23,-0.00684602939235629
2018-10-24,-0.030207220662874013
2018-10-25,0.01174245750292191
2018-10-26,-0.009079527279462096
2018-10-29,-0.0068756740630799285
2018-10-30,0.01670545410946178
2018-10-31,0.00627951522101966
2018-11-01,0.015091203404669518
2018-11-02,-0.002297209794949129
2018-11-05,0.005161281134024254
2018-11-06,0.006738560848471908
2018-11-07,0.017986188439443773
2018-11-08,-0.003623044084410998
2018-11-09,-0.010578561407677323
2018-11-12,-0.017477079661489814
2018-11-13,0.00030273796000673814
2018-11-14,-0.008310069546715315
2018-11-15,0.012562337900030474
2018-11-16,0.0019269872355264228
2018-11-19,-0.015327867132420181
2018-11-20,-0.01896546605653715
2018-11-21,0.007041474126414982
2018-11-22,0.0
2018-11-23,-0.004612075347074085
2018-11-26,0.014086419512080894
2018-11-27,-0.001585015612902474
2018-11-28,0.020794439829014966
2018-11-29,-3.3698140993909664e-05
2018-11-30,0.005898969818416422
2018-12-03,0.010040374721992373
2018-12-04,-0.03417633169157225
2018-12-05,0.0
2018-12-06,-0.004373197217060254
2018-12-07,-0.020396484379218593
2018-12-10,-0.0018744371994207087
2018-12-11,-0.0017467913587815853
2018-12-12,0.0057314087169986205
2018-12-13,-0.00709969226489604
2018-12-14,-0.015682956554910588
2018-12-17,-0.020296418354252832
2018-12-18,-0.0037060606243081717
2018-12-19,-0.015675404108632773
2018-12-20,-0.00988428981508116
2018-12-21,-0.024323237196732128
2018-12-24,-0.029088484926178437
2018-12-25,0.0
2018-12-26,0.05046541026049256
2018-12-27,0.007113040514095337
2018-12-28,-0.002076302265854313
2018-12-31,0.008823008871004623
2019-01-01,0.0
2019-01-02,0.0001532737974641596
2019-01-03,-0.020880261439062686
2019-01-04,0.0336654936441001
2019-01-07,0.009054331566533236
2019-01-08,0.012913225975018316
2019-01-09,0.00693725691074476
2019-01-10,0.00614030984412417
2019-01-11,0.0004479964713060003
2019-01-14,-0.0056275925312375685
2019-01-15,0.00792145500486885
2019-01-16,0.0049138754670887685
2019-01-17,0.009048350083591394
2019-01-18,0.013592885685004386
2019-01-21,0.0
2019-01-22,-0.015062398517976472
2019-01-23,0.0005162810022807385
2019-01-24,0.0024931299592184097
2019-01-25,0.010822213800764646
2019-01-28,-0.004668524811570429
2019-01-29,-0.00024900430719576594
2019-01-30,0.011001258972326844
2019-01-31,0.006344823658469778
2019-02-01,0.0013954604951895155
2019-02-04,0.007650442075059827
2019-02-05,0.003945083090277524
2019-02-06,-0.0009182885364421023
2019-02-07,-0.0070069152383208655
2019-02-08,-9.570551150528406e-05
2019-02-11,0.003796569911455494
2019-02-12,0.011804218142917211
2019-02-13,0.0033059413147114025
2019-02-14,-0.0014870950674917283
2019-02-15,0.012131297014206788
2019-02-18,0.0
2019-02-19,0.0009149652806087483
2019-02-20,0.0035974428514736756
2019-02-21,-0.003950876560644245
2019-02-22,0.0069739247902856905
2019-02-25,0.0008742258855076734
2019-02-26,-0.005303270739575872
2019-02-27,0.0011745623109461478
2019-02-28,-0.003942983053374816
2019-03-01,0.007429072033411366
2019-03-04,-0.004950703350681984
2019-03-05,-0.0019068685404828312
2019-03-06,-0.010446804039089985
2019-03-07,-0.008198534195202445
2019-03-08,-0.0023352274864853473
2019-03-11,0.013533567293323667
2019-03-12,0.0022474740632278944
2019-03-13,0.005904753771384108
2019-03-14,-0.002050630841305967
2019-03-15,0.0036933514954098356
2019-03-18,0.0057952610637489466
2019-03-19,-0.0033429728636802936
2019-03-20,-0.005638513316136684
2019-03-21,0.0127900453615587
2019-03-22,-0.0234894257347662
2019-03-25,0.0005154372095124704
2019-03-26,0.007844229643976686
2019-03-27,-0.0026133352367856966
2019-03-28,0.005964520491132497
2019-03-29,0.004551172814388216
2019-04-01,0.012609306278029142
2019-04-02,-0.002633152864952526
2019-04-03,0.004725090794886477
2019-04-04,0.0030617768359276765
2019-04-05,0.006139234085045575
2019-04-08,0.0003636741658420428
2019-04-09,-0.008424349185379099
2019-04-10,0.0068209427000924805
2019-04-11,0.0009332919717401911
2019-04-12,0.007272117432545744
2019-04-15,-0.001353193263335828
2019-04-16,0.0007492182925858959
2019-04-17,-0.00567411159793918
2019-04-18,0.002765808487113164
2019-04-19,0.0
2019-04-22,-0.0014112799192069203
2019-04-23,0.010607287385026809
2019-04-24,0.0003109971609039919
2019-04-25,-0.0065497390146956325
2019-04-26,0.007384755741487559
2019-04-29,0.00045562492278838906
2019-04-30,5.116960204754051e-05
2019-05-01,-0.00989891039357943
2019-05-02,-0.00014533762682239493
2019-05-03,0.012661334955840875
2019-05-06,-0.00370551599628155
2019-05-07,-0.017171625249226496
2019-05-08,-0.002152420263306365
2019-05-09,-0.003802835711438801
2019-05-10,0.0040089132052949505
2019-05-13,-0.028407342608102903
2019-05-14,0.010748820844832752
2019-05-15,0.0038804051482626
2019-05-16,0.007272369708104187
2019-05-17,-0.008850163634980368
2019-05-20,-0.006690383685353185
2019-05-21,0.010288555562691037
2019-05-22,-0.005534754587152579
2019-05-23,-0.015000217667311633
2019-05-24,0.0047078503290111096
2019-05-27,0.0
2019-05-28,-0.00995631939083802
2019-05-29,-0.007602467075252417
2019-05-30,0.0007141249549988404
2019-05-31,-0.011676088046714939
2019-06-03,0.0029629504208979474
2019-06-04,0.02279173372408061
2019-06-05,0.005391993439259335
2019-06-06,0.005183284229100638
2019-06-07,0.007822979940189545
2019-06-10,0.005253828966263252
2019-06-11,-4.706993312630914e-05
2019-06-12,-0.0018265959895129025
2019-06-13,0.005438544602449746
2019-06-14,-0.003857976297748811
2019-06-17,0.00039261832706949384
2019-06-18,0.010796059385173362
2019-06-19,0.0026414186372638593
2019-06-20,0.007727794053558834
2019-06-21,-0.004667763795227875
2019-06-24,-0.0038093199869647654
2019-06-25,-0.007899107393691762
2019-06-26,-0.001129977555325845
2019-06-27,0.008451979809225518
2019-06-28,0.008175640024952635
2019-07-01,0.005476740466522023
2019-07-02,0.00042110341526019335
2019-07-03,0.00809758153178497
2019-07-04,0.0
2019-07-05,-0.0012941706463962532
2019-07-08,-0.006654268976140243
2019-07-09,0.0006654206574805421
2019-07-10,0.0019599940306861963
2019-07-11,-0.00012422275578316544
2019-07-12,0.00739412906070358
2019-07-15,-0.002559822607633877
2019-07-16,-0.0015179537524383502
2019-07-17,-0.007520730876544923
2019-07-18,0.0037423672383581907
2019-07-19,-0.005114719019326586
2019-07-22,0.0017579296033294334
2019-07-23,0.0085425664036608
2019-07-24,0.009312483603456378
2019-07-25,-0.007766215977971169
2019-07-26,0.008031070461109513
2019-07-29,-0.002720665240164344
2019-07-30,0.0016657301041300143
2019-07-31,-0.010333573031768906
2019-08-01,-0.01322743311089819
2019-08-02,-0.008699350708778253
2019-08-05,-0.03173280925565447
2019-08-06,0.014388347999526596
2019-08-07,0.0018439144316685363
2019-08-08,0.020630737905611873
2019-08-09,-0.009957340237007506
2019-08-12,-0.014388903969768108
2019-08-13,0.014829756918893211
2019-08-14,-0.030389933429050497
2019-08-15,0.0003829400603899691
2019-08-16,0.018340948221328368
2019-08-19,0.01035137548116305
2019-08-20,-0.008535342312341931
2019-08-21,0.008171174158074446
2019-08-22,-0.000744150435241675
2019-08-23,-0.025240018695323663
2019-08-26,0.00905271996036705
2019-08-27,-0.00847839901999714
2019-08-28,0.009088827856790882
2019-08-29,0.0139165497584669
2019-08-30,0.000698290414125835
2019-09-02,0.0
2019-09-03,-0.009637284662360912
2019-09-04,0.01202651806893773
2019-09-05,0.014125426286228704
2019-09-06,0.0012098482195883054
2019-09-09,0.0035836236029762603
2019-09-10,0.0028427142628936197
2019-09-11,0.010810073561415612
2019-09-12,0.0010774578664633494
2019-09-13,-0.0005384675399405237
2019-09-16,-0.0002987119742039468
2019-09-17,-0.0008716811104274025
2019-09-18,-0.0011930101920821778
2019-09-19,-0.001155669472177323
2019-09-20,-0.00481563637423027
2019-09-23,0.0023846705112143818
2019-09-24,-0.010232989655760694
2019-09-25,0.008479010540902832
2019-09-26,-0.003990291855847372
2019-09-27,-0.006240875006146951
2019-09-30,0.005943571291009975
2019-10-01,-0.01635952188435097
2019-10-02,-0.01647785967432719
2019-10-03,0.008142852979427406
2019-10-04,0.01169841356509993
2019-10-07,-0.004700932579442152
2019-10-08,-0.016551244551229416
2019-10-09,0.00785802132012392
2019-10-10,0.0066513408720653144
2019-10-11,0.013813325121068809
2019-10-14,-0.00299551363664885
2019-10-15,0.009338941560995462
2019-10-16,-0.0014082730025553603
2019-10-17,0.005220581051681994
2019-10-18,-0.0020640845797547658
2019-10-21,0.005868494367109234
2019-10-22,-0.0022266693787061365
2019-10-23,0.002340132458808708
2019-10-24,-0.00014545032739526897
2019-10-25,0.0051748716824839835
2019-10-28,0.005660100052406691
2019-10-29,0.001110866516230824
2019-10-30,0.0004816250723214677
2019-10-31,-0.005699262595100674
2019-11-01,0.011845219975352705
2019-11-04,0.004862499349172045
2019-11-05,0.000544051301582249
2019-11-06,-0.0017075553327835502
2019-11-07,0.0023350110155943016
2019-11-08,0.002160620600050178
2019-11-11,-0.001412193079322055
2019-11-12,-0.00012276103902114643
2019-11-13,-0.000512746956907284
2019-11-14,0.0013489934994070918
2019-11-15,0.005840489275290128
2019-11-18,-0.00031261448128228064
2019-11-19,0.000606083881526609
2019-11-20,-0.003347395758236449
2019-11-21,-0.004287737666916591
2019-11-22,0.0024959321971649295
2019-11-25,0.009457193637155026
2019-11-26,0.003745987273903739
2019-11-27,0.004859834581664724
2019-11-28,0.0
2019-11-29,-0.006802922380983567
2019-12-02,-0.008274562455474366
2019-12-03,-0.006539043349525209
2019-12-04,0.00724080962878082
2019-12-05,0.001859125353084301
2019-12-06,0.009447356593814016
2019-12-09,-0.00422502453836765
2019-12-10,4.190187856889516e-05
2019-12-11,0.002035425289204418
2019-12-12,0.009436190024038726
2019-12-13,-0.0022206005810852525
2019-12-16,0.006963017039695152
2019-12-17,0.0011479565234503442
2019-12-18,0.0007823367985636542
2019-12-19,0.0039772666947766044
2019-12-20,0.004512149451164071
2019-12-23,-8.123499532813883e-05
2019-12-24,-0.0004992889378644394
2019-12-25,0.0
2019-12-26,0.004021997084622031
2019-12-27,-0.0022169042435196684
2019-12-30,-0.0026698138276153305
2019-12-31,0.0016253616199722876
2020-01-01,0.0
2020-01-02,0.004720429358242129
2020-01-03,-0.006002304022819149
2020-01-06,0.0008970100066502673
2020-01-07,-0.00253716770191198
2020-01-08,0.004666956690031143
2020-01-09,0.0038536968979738795
2020-01-10,-0.0032462364082549433
2020-01-13,0.007895316141052211
2020-01-14,0.0009902329273372423
2020-01-15,0.001621387467348856
2020-01-16,0.008987933902202427
2020-01-17,0.00023576606722064408
2020-01-20,0.0
2020-01-21,-0.003738442471327208
2020-01-22,-0.00029702405255538356
2020-01-23,0.002093792110005488
2020-01-24,-0.01027631498466225
2020-01-27,-0.015363187507375253
2020-01-28,0.011285826952427969
2020-01-29,-0.003476692004442117
2020-01-30,0.003146837392976165
2020-01-31,-0.020120501333911855
2020-02-03,0.00886552552816433
2020-02-04,0.014947231166948516
2020-02-05,0.011237945897360602
2020-02-06,-0.0010343312749702682
2020-02-07,-0.007807623122683183
2020-02-10,0.006818087607770695
2020-02-11,0.004627335003034361
2020-02-12,0.0068198747696652795
2020-02-13,0.0011584573615144311
2020-02-14,0.0002801872818266049
2020-02-17,0.0
2020-02-18,-0.003337375450293223
2020-02-19,0.004634778015720875
2020-02-20,-0.0007994014655441917
2020-02-21,-0.00960494265758699
2020-02-24,-0.03186498889135331
2020-02-25,-0.032162532439223845
2020-02-26,-0.010908740880598733
2020-02-27,-0.04300329711138845
2020-02-28,-0.011549430349491463
2020-03-02,0.03630986646888501
2020-03-03,-0.022246021349746403
2020-03-04,0.03798576078919125
2020-03-05,-0.034412716967194945
2020-03-06,-0.017642758847995377
2020-03-09,-0.08308992659635861
2020-03-10,0.04100091579988285
2020-03-11,-0.055884019257272266
2020-03-12,-0.10286976027972561
2020-03-13,0.0943015665554725
2020-03-16,-0.13341446784940986
2020-03-17,0.05980804447302168
2020-03-18,-0.07053381014928939
2020-03-19,0.020132957885522274
2020-03-20,-0.04186263274391372
2020-03-23,-0.03283719800696644
2020-03-24,0.10517113730076999
2020-03-25,0.021034587729787835
2020-03-26,0.05646042967355214
2020-03-27,-0.032306757767768535
2020-03-30,0.03179999132737976
2020-03-31,-0.013312170824790248
2020-04-01,-0.05377041664135246
2020-04-02,0.020724190541436815
2020-04-03,-0.021052947838581915
2020-04-06,0.07350950820620783
2020-04-07,0.006370543482678959
2020-04-08,0.04313283343093588
2020-04-09,0.02396442243250141
2020-04-10,0.0
2020-04-13,-0.018986648072447654
2020-04-14,0.0258727463620948
2020-04-15,-0.031944498423062795
2020-04-16,0.002185923296117276
2020-04-17,0.03252555204079999
2020-04-20,-0.02050800954693932
2020-04-21,-0.02663025954800219
2020-04-22,0.017136830297549976
2020-04-23,0.004086695479647184
2020-04-24,0.015788422120847412
2020-04-27,0.028089884680897348
2020-04-28,0.004415077979166404
2020-04-29,0.03467807397179801
2020-04-30,-0.022614397118735252
2020-05-01,-0.031213655029778187
2020-05-04,0.0015956386113147314
2020-05-05,0.010692630461706987
2020-05-06,-0.0084781053926975
2020-05-07,0.01669795756121184
2020-05-08,0.02601702855951904
2020-05-11,-0.0040590400962964845
2020-05-12,-0.030384196477728387
2020-05-13,-0.023837935204748195
2020-05-14,0.011048628229595847
2020-05-15,0.0039748377754507125
2020-05-18,0.04840971979884945
2020-05-19,-0.011747987130175941
2020-05-20,0.01924835546895798
2020-05-21,-0.0029898103699303458
2020-05-22,0.0026934501727529647
2020-05-25,0.0
2020-05-26,0.02409672250009831
2020-05-27,0.020240317869628544
2020-05-28,-0.006652172219235142
2020-05-29,-0.002163275887407834
2020-06-01,0.007732561595181653
2020-06-02,0.00836502227788305
2020-06-03,0.02040760865691371
2020-06-04,-0.0008119334395965128
2020-06-05,0.02836696879819056
2020-06-08,0.015556808377762965
2020-06-09,-0.013692784001586022
2020-06-10,-0.01561621636013999
2020-06-11,-0.06457271060012354
2020-06-12,0.014594480272575594
2020-06-15,0.014604868709900187
2020-06-16,0.019437267941206038
2020-06-17,-0.008574922257924611
2020-06-18,-0.0026484848621802226
2020-06-19,-0.008562021109800644
2020-06-22,0.010034549655221214
2020-06-23,0.0018896592080825947
2020-06-24,-0.028511724365313795
2020-06-25,0.01051925994373304
2020-06-26,-0.02043939588975574
2020-06-29,0.018880404533094253
2020-06-30,0.013577124659976292
2020-07-01,-0.001928461269413928
2020-07-02,0.006910211438359015
2020-07-03,0.0
2020-07-06,0.012197988754081512
