SECURITY,GICS_SECTOR_NAME
CTVA UN Equity,Materials
TXN UW Equity,Information Technology
TXT UN Equity,Industrials
TMO UN Equity,Health Care
TJX UN Equity,Consumer Discretionary
GL UN Equity,Financials
JCI UN Equity,Industrials
ULTA UW Equity,Consumer Discretionary
UNP UN Equity,Industrials
KEYS UN Equity,Information Technology
UNH UN Equity,Health Care
BX UN Equity,Financials
VTR UN Equity,Real Estate
LH UN Equity,Health Care
VMC UN Equity,Materials
WY UN Equity,Real Estate
WMB UN Equity,Energy
CEG UW Equity,Utilities
WEC UN Equity,Utilities
ADBE UW Equity,Information Technology
VST UN Equity,Utilities
AES UN Equity,Utilities
EXPD UN Equity,Industrials
AMGN UW Equity,Health Care
AAPL UW Equity,Information Technology
ADSK UW Equity,Information Technology
CTAS UW Equity,Industrials
CMCSA UW Equity,Communication Services
TAP UN Equity,Consumer Staples
KLAC UW Equity,Information Technology
MAR UW Equity,Consumer Discretionary
FI UN Equity,Financials
MKC UN Equity,Consumer Staples
PCAR UW Equity,Industrials
COST UW Equity,Consumer Staples
SYK UN Equity,Health Care
TSN UN Equity,Consumer Staples
LW UN Equity,Consumer Staples
AMAT UW Equity,Information Technology
CAH UN Equity,Health Care
CINF UW Equity,Financials
PARA UW Equity,Communication Services
DHI UN Equity,Consumer Discretionary
EA UW Equity,Communication Services
ERIE UW Equity,Financials
FICO UN Equity,Information Technology
FAST UW Equity,Industrials
MTB UN Equity,Financials
XEL UW Equity,Utilities
FITB UW Equity,Financials
GILD UW Equity,Health Care
HAS UW Equity,Consumer Discretionary
HBAN UW Equity,Financials
WELL UN Equity,Real Estate
BIIB UW Equity,Health Care
NTRS UW Equity,Financials
PKG UN Equity,Materials
PAYX UW Equity,Industrials
QCOM UW Equity,Information Technology
ROST UW Equity,Consumer Discretionary
IDXX UW Equity,Health Care
SBUX UW Equity,Consumer Discretionary
KEY UN Equity,Financials
FOXA UW Equity,Communication Services
FOX UW Equity,Communication Services
STT UN Equity,Financials
NCLH UN Equity,Consumer Discretionary
USB UN Equity,Financials
AOS UN Equity,Industrials
GEN UW Equity,Information Technology
TROW UW Equity,Financials
WM UN Equity,Industrials
STZ UN Equity,Consumer Staples
IVZ UN Equity,Financials
INTU UW Equity,Information Technology
MS UN Equity,Financials
MCHP UW Equity,Information Technology
CRWD UW Equity,Information Technology
CB UN Equity,Financials
HOLX UW Equity,Health Care
CFG UN Equity,Financials
JBL UN Equity,Information Technology
ORLY UW Equity,Consumer Discretionary
ALL UN Equity,Financials
EQR UN Equity,Real Estate
KDP UW Equity,Consumer Staples
HST UW Equity,Real Estate
INCY UW Equity,Health Care
SPG UN Equity,Real Estate
EMN UN Equity,Materials
AVB UN Equity,Real Estate
PRU UN Equity,Financials
UPS UN Equity,Industrials
WBA UW Equity,Consumer Staples
STE UN Equity,Health Care
MCK UN Equity,Health Care
LMT UN Equity,Industrials
COR UN Equity,Health Care
COF UN Equity,Financials
CPB UW Equity,Consumer Staples
WAT UN Equity,Health Care
NDSN UW Equity,Industrials
DLTR UW Equity,Consumer Staples
DRI UN Equity,Consumer Discretionary
EVRG UW Equity,Utilities
MTCH UW Equity,Communication Services
NVR UN Equity,Consumer Discretionary
NTAP UW Equity,Information Technology
ODFL UW Equity,Industrials
DVA UN Equity,Health Care
HIG UN Equity,Financials
IRM UN Equity,Real Estate
EL UN Equity,Consumer Staples
CDNS UW Equity,Information Technology
TYL UN Equity,Information Technology
UHS UN Equity,Health Care
